name,id,id_movie
Warner Bros.,6194,11859
Castleberg Productions,5841,28387
Sandollar Productions,5842,28387
Les Films 13,1742,48750
Canal+,5358,48750
Tf1,22123,48750
New Line Cinema,12,20927
Juno Pix,4286,20927
Warner Bros.,6194,36929
Morgan Creek Productions,10210,36929
The Movie Network (Tmn),3388,9102
Allegro Films,4899,9102
Fuji Eight Company Ltd.,7958,9102
Fries Film Group,23096,9102
Super Ecran,23097,9102
Triumph Films,23098,9102
Zweites Deutsches Fernsehen (Zdf),4606,124626
Ciak Filmproduktion,83201,124626
Bluehorse Films,93174,124626
Miramax Films,14,27526
Columbia Pictures Corporation,441,9623
I.R.I.B. Channel 2,38953,46785
Ferdos Films,38954,46785
Miramax Films,14,400
Bergen Film,575,880
Bard Entertainments,576,880
Nps Televisie,577,880
Bet Pictures,38196,146599
United Image Entertainme,38197,146599
Playhouse International Pictures,2492,8447
The Samuel Goldwyn Company,8888,8447
Hollywood Pictures,915,10534
Largo Entertainment,1644,10534
Scott Free Productions,1645,10534
Twentieth Century Fox Film Corporation,306,17414
Joe Wizan/Todd Black,3311,17414
Paramount Pictures,4,13997
Paramount Pictures,4,2086
Miramax Films,14,61548
Addis Wechsler Pictures,4665,61548
Tristar Pictures,559,9095
Nfh Productions,18737,9095
Paramount Pictures,4,12158
Miramax Films,14,9283
Woods Entertainment,979,9283
Twentieth Century Fox Film Corporation,306,9208
Wcg Entertainment Productions,456,9208
Mark Gordon Productions,11362,9208
Castle Rock Entertainment,97,40154
Midwinter Films,75942,40154
Egg Pictures,802,406
Polygram Filmed Entertainment,1382,406
Canal+,5358,406
Les Productions Lazennec,5869,406
La Sept Cinéma,16366,406
Kasso Inc. Productions,22684,406
Studio Image,68517,406
Cofinergie 6,68518,406
Channel Four Films,181,45549
British Broadcasting Corporation (Bbc),3324,63076
Westdeutscher Rundfunk (Wdr),7025,63076
Canadian Broadcasting Corporation (Cbc),12113,63076
Cinemax Reel Life,12911,63076
Inpictures,12912,63076
Lafayette Films,12913,63076
Columbia Pictures,5,11062
Castle Rock Entertainment,97,11062
Gracie Films,18,13685
Columbia Pictures Corporation,441,13685
Touchstone Pictures,9195,47475
Metro-Goldwyn-Mayer (Mgm),8411,2045
Dino De Laurentiis Company,10308,2045
Spelling Films,10355,2045
Universal Pictures,33,9614
Brillstein-Grey Entertainment,1606,9614
Robert Simonds Productions,3929,9614
Amblin Entertainment,56,688
Malpaso Productions,171,688
Warner Bros.,6194,688
Walt Disney Pictures,2,10874
Jim Henson Productions,2504,10874
"Jim Henson Company, The",6254,10874
Icon Entertainment International,4564,197
The Ladd Company,7965,197
B.H. Finance C.V.,11353,197
Columbia Pictures Corporation,441,103
Italo/Judeo Productions,46059,103
Bill/Phillips,46060,103
New Line Cinema,12,33542
Golden Harvest Company,2521,33542
Caravan Pictures,175,43566
Hollywood Pictures,915,43566
Téléfilm Canada,806,71754
Skyline Films,2055,71754
Malofilm,3498,71754
Société De Développement Des Entreprises Culturelles (Sodec),9116,71754
British Screen Productions,12745,71754
National Film Board Of Canada (Nfb),17027,71754
Imx Communications,22150,71754
Glace Bay Pictures,38673,71754
Ciné Télé Action,38674,71754
Nova Scotia Film Development Corporation,40534,71754
Ranfilm,85045,71754
France 2 Cinéma,83,43612
France 3 Cinéma,591,43612
Studiocanal,694,43612
Les Productions Du Champ Poirier,883,43612
Téléma Productions,885,43612
Bavaria Film And Television Fund,3236,16934
Tristar Pictures,559,10324
Motion Picture Corporation Of America (Mpca),11061,10324
Savoy Pictures,11308,78406
Tristar Pictures,559,55731
Paramount Pictures,4,11066
Jet Tone Production,540,11104
The Criterion Collection,10932,11104
Cecchi Gori Group Tiger Cinematografica,371,37975
Miramax Films,14,2074
Studio Babelsberg,264,27793
Dieter Geissler Filmproduktion,1766,27793
Cinevox Filmproduktion Gmbh,1979,27793
Warner Bros.,6194,27793
Miramax,53009,27793
Canal Horizons,22029,44284
Mat Films,22618,44284
Cinétéléfilms,71842,44284
Fine Line Features,8,73067
Channel Four Films,181,73067
Bórd Scannán Na Héireann,1898,73067
Canal+,5358,73067
Paramount Pictures,4,11863
Cigua Films,93488,55475
D'Pelicula,93489,55475
Twentieth Century Fox Film Corporation,306,9101
Couch Potatoe Productions,68229,123360
Channel Four Films,181,39428
Academy,38778,39428
Mayfair Films,94477,39428
Iberoamerica Films,94478,39428
Cinergi Pictures Entertainment,1504,9302
Touchstone Pictures,9195,9302
United Artists,60,11000
Fox Searchlight Pictures,43,16388
Columbia Pictures,5,9737
Don Simpson/Jerry Bruckheimer Films,10288,9737
Warner Bros.,6194,30765
New Line Cinema,12,10474
Island Pictures,3492,10474
Fine Line Features,8,22279
Bbc,5996,22279
British Screen Productions,12745,22279
Portman Productions,16027,22279
Channel Four Films,181,30157
Zenith Entertainment,3644,30157
American Playhouse,3906,30157
Union Générale Cinématographique (Ugc),7248,30157
La Sept Cinéma,16366,30157
True Fiction Pictures,37909,30157
Imagine Entertainment,23,568
Universal Pictures,33,568
United Artists,60,11780
Talisman Productions,8989,11780
October Films,236,34996
Guild,1214,34996
Fastnet Films,5353,34996
Warner Bros.,6194,414
Polygram Filmed Entertainment,31080,414
Paris Films Productions,386,649
Five Films,387,649
Robert Et Raymond Hakim,11290,649
Columbia Pictures,5,1873
Castle Rock Entertainment,97,1873
Miramax Films,14,5894
Interal,30334,5894
Polygram Filmed Entertainment,1382,1775
Universal Pictures,33,8839
Amblin Entertainment,56,8839
The Harvey Entertainment Company,11098,8839
Universal Pictures,33,20649
40 Acres & A Mule Filmworks,4319,20649
Paramount Pictures,4,10329
"Kennedy/Marshall Company, The",7383,10329
Hollywood Pictures,915,8963
Don Simpson/Jerry Bruckheimer Films,10288,8963
Superior Pictures,4532,26564
Columbia Pictures,5,8068
Los Hooligans Productions,11705,8068
Tristar Pictures,559,8512
Mundy Lane Entertainment,2510,8512
Twentieth Century Fox Film Corporation,306,1572
Cinergi Pictures Entertainment,1504,1572
Why Not Productions,729,13552
Desperate Pictures,1474,13552
Blurco,2765,13552
The Teen Angst Movie Company,18902,13552
Touchstone Pictures,9195,259209
Merchant Ivory Productions,20740,259209
Columbia Pictures Corporation,441,6520
First Knight Productions,10158,6520
Regency Enterprises,508,9073
Alcor Films,644,9073
Canal+,5358,9073
Donner/Shuler-Donner Productions,5739,9073
Warner Bros.,6194,9073
United Artists,60,10428
Suftley,87394,10428
The Booking Office,12909,17447
Workin' Man Films,12910,17447
Tristar Pictures,559,9886
Alliance Communications Corporation,2480,9886
Hollywood Pictures,915,9482
Cinergi Pictures Entertainment,1504,9482
Tristar Pictures,559,19326
Miramax Films,14,9344
Jdi Productions,13187,9071
Lemon Sky Productions,13190,9071
United Artists,60,8973
Seraphim Films,3557,8973
The Ontario Film Development Corporation,1203,15730
First Choice Films,2267,15730
Atlantis Films,4350,15730
Telefilm Canada,7320,15730
Max Films Productions,7828,15730
Super Écran,11578,15730
Société Générale Des Industries Culturelles Du Québec (Sogic),35859,15730
Touchstone Pictures,9195,47608
Universal Pictures,33,2293
Gramercy Pictures,37,2293
Alphaville Films,11462,2293
View Askew Productions,16934,2293
Twentieth Century Fox Film Corporation,306,9070
Saban Entertainment,2106,9070
Toei Company,9255,9070
Polygram Filmed Entertainment,1382,68274
Working Title Films,10163,68274
Comet Film Produktion Gmbh,16561,48787
Avrora Media,38959,48787
Cobblestone Pictures,38960,48787
Kino Link Company,37897,34574
Columbia Pictures,5,1642
Twentieth Century Fox Film Corporation,306,11472
1492 Pictures,436,11472
Party Productions,37890,36196
Dimension Films,7405,11980
Playhouse International Pictures,2492,58372
American Playhouse,3906,58372
"Samuel Goldwyn Company, The",28205,58372
Killer Films,1422,32646
American Playhouse,3906,32646
Kardana Films,38692,32646
Chemical Films,39861,32646
Hollywood Pictures,915,10533
Cinergi Pictures Entertainment,1504,10533
United Artists,60,10802
Le Studio Canal+,183,10802
Carolco Pictures,14723,10802
Miramax Films,14,10149
Spring Creek Productions,705,18402
Warner Bros.,6194,18402
Hawn / Sylbert Movie Company,16368,18402
Metro-Goldwyn-Mayer (Mgm),8411,9348
Malpaso Productions,171,139408
Butcher'S Run Films,3864,139408
Warner Bros.,6194,139408
Lightstorm Entertainment,574,281
Beta Film,1080,5967
Madeleine Films,1147,5967
Parc Film,14680,5967
Hollywood Pictures,915,79593
Polygram Filmed Entertainment,1382,79593
Interscope Communications,10201,79593
Savoy Pictures,11308,47939
Société Française De Production (Sfp),6849,36834
Fit Productions,16026,36834
Portman Productions,16027,36834
Universal Pictures,33,9090
Amblin Entertainment,56,9090
Regency Enterprises,508,3512
Warner Bros.,6194,3512
Seagal/Nasso Productions,17825,3512
Victor Company Of Japan (Jvc),21480,3512
Cutting Edge Films,63906,3512
Hollywood Pictures,915,52856
Twentieth Century Fox Film Corporation,306,9560
Zucker Brothers Productions,2851,9560
Universal Pictures,33,9804
Gordon Company,1073,9804
Davis Entertainment,1302,9804
Licht/Mueller Film Corporation,6092,9804
Hbo,6068,31611
A Bandapart,6911,31611
Rysher Entertainment,11661,31611
United Artists,60,65796
Paramount Pictures,4,49805
Twentieth Century Fox Film Corporation,306,26258
Canal+,5358,50797
Studio Trite,6453,50797
Caméra One,6454,50797
Polygram Audiovisuel,6367,19155
British Screen Productions,12745,19155
Detour Film Production,98,76
Warner Bros.,6194,76
Jack Giarraputo Productions,6365,11017
Spelling Films International,18189,37141
Regency Enterprises,508,9382
Alcor Films,644,9382
Canal+,5358,9382
New Regency Pictures,10104,9382
Hera Productions,16192,9382
Universal Pictures,33,6715
Island World,1595,6715
Full Moon Entertainment,4867,18256
The Rank Organisation,364,22625
Bórd Scannán Na Héireann,1898,22625
Lantana,4127,22625
Price Entertainment,23808,22625
Miramax Films,14,2292
View Askew Productions,16934,2292
New Line Cinema,12,1909
American Zoetrope,70,1909
Warner Bros.,6194,8984
Baltimore Pictures,11407,8984
Keystone Pictures,15709,61813
Dream Man Productions Inc,52095,61813
Paramount Pictures,4,4954
Savoy Pictures,11308,62488
Rysher Entertainment,11661,62488
Fine Line Features,8,10531
Channel Four Films,181,10531
Capitol Films,826,10531
Tf1 Films Production,3823,10531
Canal+,5358,10531
Flach Film,8277,10531
Les Films De L'Astre,68141,10531
Castle Rock Entertainment,97,11929
Columbia Pictures Corporation,441,11929
New Line Cinema,12,8467
Motion Picture Corporation Of America (Mpca),11061,8467
Ang Lee Productions,5528,10451
Good Machine,10565,10451
Central Motion Pictures,25345,10451
Miramax Films,14,20156
Alliance Entertainment,10166,20156
Ego Film Arts,12800,20156
Savoy Pictures,11308,18395
Touchstone Pictures,9195,522
Twentieth Century Fox Film Corporation,306,397
Polygram Filmed Entertainment,1382,397
Working Title Films,10163,397
Prufrock Pictures,34207,397
Columbia Pictures,5,10525
Castle Rock Entertainment,97,10525
Twentieth Century Fox Film Corporation,306,27985
Walt Disney Pictures,2,15789
Tristar Pictures,559,27303
Metro-Goldwyn-Mayer,21,21183
Italian International Film,1429,10954
Stéphan Films,2359,10954
Mg,37581,10954
Miramax Films,14,72031
Fine Line Features,8,14275
Kartemquin Films,13042,14275
Wingnut Films,11,1024
Miramax Films,14,1024
New Zealand Film Commission,294,1024
Fontana Productions,2306,1024
Caravan Pictures,175,17207
Hollywood Pictures,915,17207
Columbia Pictures,5,13701
Majestic Films International,2630,13701
Icon Entertainment International,4564,13701
Walt Disney Pictures,2,14819
Caravan Pictures,175,14819
Universal Pictures,33,32631
Bregman/Baer Productions,11393,32631
Paramount Pictures,4,11777
Geffen Pictures,360,628
Merchant Ivory Productions,2370,87729
Touchstone Pictures,9195,87729
Caravan Pictures,175,18713
Touchstone Pictures,9195,18713
Universal Pictures,33,6280
Northern Lights Entertainment,8816,6280
Fountainbridge Films,414,9061
Warner Bros.,6194,9061
Lee Rich Productions,36854,9061
Walt Disney Pictures,2,37108
Trimark Pictures,4063,37108
Twentieth Century Fox Film Corporation,306,6071
Lucasfilm,1,11
Twentieth Century Fox Film Corporation,306,11
Columbia Pictures,5,9587
Warner Bros.,6194,19101
Channel Four Films,181,49980
Parallax Pictures,983,49980
Mk2 Productions,9209,17961
Aviacsa,84803,18183
Cinevista,84804,18183
Bedford Falls Productions,348,4476
Tristar Pictures,559,4476
Pangaea,1656,4476
Universal Pictures,33,11008
Fine Line Features,8,47504
New Line Cinema,12,47504
Live Entertainment,285,47504
Channel Four Films,181,32325
Cineville,2832,32325
Home Box Office (Hbo),3268,32325
Showcase Entertaiment Inc.,36836,32325
Warner Bros.,6194,43742
Paramount Pictures,4,28313
Channel Four Films,181,11318
Samuel Goldwyn Company,798,11318
Close Call Films,23022,11318
American Zoetrope,70,3036
Tristar Pictures,559,3036
Walt Disney Pictures,2,40490
Tristar Pictures,559,24070
Paramount Pictures,4,8986
The Kennedy/Marshall Company,862,8986
Twentieth Century Fox Film Corporation,306,10510
Hollywood Pictures,915,17402
American Zoetrope,70,38722
American Playhouse,3906,38722
Majestic Films International,20928,38722
Newcomb Productions,89873,38722
Wolper Organization,2428,8438
Warner Bros.,6194,8438
Paramount Pictures,4,11593
Capella International,594,11593
Cinehaus,761,11593
Twentieth Century Fox Film Corporation,306,1945
Egg Pictures,802,1945
Polygram Filmed Entertainment,1382,1945
40 Acres & A Mule Filmworks,4319,39310
Toei,7260,109560
Distant Justice Joint Venture,42935,109560
Metrodome Films,11139,56428
Filmwerks,7954,63105
Imperial Entertainment,21437,63105
Triumph Films,23098,131957
Regency Enterprises,508,241
Alcor Films,644,241
Ixtlan,4198,241
Warner Bros.,6194,241
New Regency Pictures,10104,241
J D Productions,68551,241
Tristar Pictures,559,9058
Avalon Studios,293,527
New Zealand Film Commission,294,527
New Zealand On Air,295,527
New Line Cinema,12,18220
Cinetel Pictures,17067,18220
Mg Entertainment,17068,18220
Kopelson Entertainment,824,6950
Punch Productions,2154,6950
Warner Bros.,6194,6950
Arnold Kopelson Productions,16775,6950
Columbia Pictures,5,101
Gaumont,9,101
"Samuel Goldwyn Company, The",28205,63020
Hollywood Pictures,915,2307
Miramax Films,14,680
A Band Apart,59,680
Jersey Films,216,680
Polygram Filmed Entertainment,31080,41478
Gramercy Pictures (I),31715,41478
Mvp Films,37580,41478
Ang Lee Productions,5528,25296
Bbc Films,288,40156
Polygram Filmed Entertainment,1382,40156
Miramax,53009,40156
Wildwood Enterprises,316,11450
Hollywood Pictures,915,11450
Baltimore Pictures,11407,11450
Cecile Company,84839,30304
Thousand Cranes Filmworks,84840,30304
Renn Productions,82,10452
Eurimages,850,10452
Canal+,5358,10452
Ard/Degeto Film Gmbh,6187,10452
D.A. Films,6541,10452
France2 Cinéma,7089,10452
Wmg Film,8923,10452
Centre National De La Cinématographie (Cnc),18367,10452
N.E.F. Filmproduktion Und Vertriebs Gmbh,18495,10452
Miramax,53009,10452
Rcs Films & Tv,75913,10452
Tristar Pictures,559,12106
Hollywood Pictures,915,161495
Interscope Communications,10201,161495
Nomura Babcock & Brown,12883,161495
Miramax Films,14,3586
Zespół Filmowy Tor,38,110
Le Studio Canal+,183,110
France 3 Cinéma,591,110
Télévision Suisse-Romande,1245,110
France 3 Cinéma,591,108
Ced Productions,1610,108
Le Studio Canal+,183,109
France 3 Cinéma,591,109
Eurimages,850,109
Allegro Films,4899,92769
Norstar Entertainment,16953,92769
West Wind Entertainment,24946,92769
Paramount Pictures,4,28033
Rich Animation Studios,4108,22586
Jones Entertainment Group,29272,14334
Skerry Productions,29273,14334
Jerry Weintraub Productions,2596,2636
Warner Bros.,6194,2636
Iguana Producciones,11134,2636
Centropolis Entertainment,347,2164
Studiocanal,694,2164
Carolco Entertainment,10320,2164
Walt Disney Pictures,2,11395
Hollywood Pictures,915,11395
Castle Rock Entertainment,97,278
Warner Bros.,6194,278
Channel Four Films,181,9905
Figment Films,359,9905
The Glasgow Film Fund,980,9905
Polygram Filmed Entertainment,1382,9905
Kino Korsakoff,78701,87078
Miramax Films,14,12527
Tabasco Films,6647,12527
Instituto Mexicano De Cinematografía (Imcine),8861,12527
Telemadrid,10015,12527
Cineville,2832,20306
Trimark Pictures,4063,20306
Samuel Goldwyn Company,798,36614
New Line Cinema,12,27993
1992 Number Four Limited Partnership,4733,27993
Mha,4734,27993
Shanghai Film Studios,1078,31439
Era International Ltd,25299,31439
Trilogy Entertainment Group,2231,9067
Universal Pictures,33,9059
Tales From The Crypt Holdings,69626,9059
Paramount Pictures,4,193
40 Acres & A Mule Filmworks,4319,25066
Savoy Pictures,11308,25066
Universal Pictures,33,12122
Paramount Pictures,4,11381
Sony Pictures Classics,58,32636
Populist Pictures,14729,36141
Savoy Pictures,11308,95963
Price Entertainment,23808,95963
"Jackson/Mchenry Company,The",37350,95963
Paramount Pictures,4,1587
Paramount Pictures,4,9271
Caravan Pictures,175,2064
Hollywood Pictures,915,2064
Universal Pictures,33,19855
Fine Line Features,8,60855
Téléfilm Canada,806,60855
First Generation Films,4908,60855
National Film Board Of Canada (Nfb),17027,60855
British Columbia Film Commission,36024,60855
Ciby 2000,105,236
Film Victoria,11840,236
House & Moorhouse Films,39250,236
Columbia Pictures Corporation,441,48287
Beacon Pictures,10157,48287
Warner Bros.,6194,3049
Morgan Creek Productions,10210,3049
Polygram Filmed Entertainment,1382,2759
Gramercy Pictures,37,12635
Fine Line Features,8,10497
R.P. Productions,355,10497
Columbia Pictures Corporation,441,10497
Les Films Alain Sarde,635,10497
Canal+,5358,10497
Timothy Burrill Productions,8131,10497
Miramax Films,14,11382
Paramount Pictures,4,9331
Mace Neufeld Productions,2767,9331
Regency Enterprises,508,10731
Alcor Films,644,10731
Warner Bros.,6194,10731
New Line Cinema,12,10464
Universal Pictures,33,34152
40 Acres & A Mule Filmworks,4319,34152
Miramax Films,14,9495
Crowvision Inc.,4028,9495
Entertainment Media Investment Corporation,4029,9495
Jeff Most Productions,4030,9495
Edward R. Pressman Film,6455,9495
Regency Enterprises,508,29973
Alcor Films,644,29973
Warner Bros.,6194,29973
Aleor Films,16823,29973
Universal Pictures,33,888
Amblin Entertainment,56,888
Hanna-Barbera Productions,1353,888
Paramount Pictures,4,13
Channel Four Films,181,712
Polygram Filmed Entertainment,1382,712
Working Title Films,10163,712
Columbia Pictures Corporation,441,16295
New Deal Productions,1947,16295
Columbia Pictures Corporation,441,48992
Think Again Productions,37294,48992
Riot Of Color,37295,48992
Caravan Pictures,175,10879
Touchstone Pictures,9195,10879
Tristar Pictures,559,10660
Channel Four Films,181,41647
Arte,201,41647
Zweites Deutsches Fernsehen (Zdf),4606,41647
Nomad Films,12914,41647
Omega Film Gmbh,12915,41647
Without Walls,12916,41647
Walt Disney Pictures,2,8587
Walt Disney Feature Animation,10217,8587
Miramax Films,14,1689
New Line Cinema,12,11596
New Line Cinema,12,854
Dark Horse Entertainment,552,854
Icon Entertainment International,4564,9359
Warner Bros.,6194,9359
Fine Line Features,8,23333
Miramax Films,14,23333
Paramount Pictures,4,36593
Imagine Entertainment,23,12280
Universal Pictures,33,12280
Universal Pictures,33,2788
Jersey Films,216,2788
Propaganda Films,278,10427
Polygram Filmed Entertainment,1382,10427
Davis Entertainment,1302,11011
Silver Pictures,1885,11011
Warner Bros.,6194,11011
New Line Cinema,12,49803
Universal Pictures,33,8987
David Foster Productions,496,8987
Turman-Foster Company,662,8987
Twentieth Century Fox Film Corporation,306,1637
Metro-Goldwyn-Mayer (Mgm),8411,15128
Universal Pictures,33,8831
Renaissance Pictures,467,8831
Dark Horse Entertainment,552,8831
Largo Entertainment,1644,8831
Signature Pictures,2982,8831
Jvc Entertainment Networks,4248,8831
Twentieth Century Fox Film Corporation,306,36955
Lightstorm Entertainment,574,36955
Touchstone Pictures,9195,10449
Columbia Pictures,5,10395
Tig Productions,335,12160
Warner Bros.,6194,12160
Kasdan Pictures,13040,12160
Paragon Entertainment Corp.,24217,12160
Touchstone Pictures,9195,40480
Tool Shed Productions,21857,40480
Bbc Films,288,52038
Majestic Films International,2630,52038
Little Bird,11358,52038
Gramercy Pictures,37,29444
Polygram Filmed Entertainment,1382,29444
Caravan Pictures,175,26352
Hollywood Pictures,915,26352
Strand Releasing,3923,39953
Strand Home Video,25583,39953
Eve Productions Inc.,170,315
Bolex Brothers,6215,18242
Lumen Films,6216,18242
Tara,6217,18242
Universal Pictures,33,11667
Capcom,7220,11667
Propaganda Films,278,32502
Motion Picture Corporation Of America (Mpca),11061,32502
Polygram Filmed Entertainment,31080,32502
Snowback Productions,33419,32502
Live Entertainment,285,28732
Capitol Films,826,28732
Bates Entertainmant,16835,28732
A-Pix Entertainment,14280,75555
Devin Entertainment,37300,75555
Walt Disney Pictures,2,42981
Theodore Thomas Productions,90509,42981
Overseas Filmgroup,888,278939
Skyline Entertainment Partners,38179,291731
Arrow,38289,291731
Home Box Office (Hbo),3268,203119
Frozen Rope Productions Inc.,38276,203119
Trans-Film,2662,8011
Initial Groupe,22240,8011
Lumière Pictures,25129,8011
Fallingcloud,30655,8011
New Line Cinema,12,2654
New Line Cinema,12,18069
New Line Cinema,12,19092
Paramount Pictures,4,2758
Orion Pictures,41,2758
Scott Rudin Productions,258,2758
Hbo Independent Productions,21222,38129
Columbia Pictures,5,10436
Twentieth Century Fox Film Corporation,306,13595
Island World,1595,13595
Robert Simonds Productions,3929,13595
Hollywood Pictures,915,46094
Polygram Filmed Entertainment,1382,46094
Interscope Communications,10201,46094
Nomura Babcock & Brown,12883,46094
Nbb Unit One Film Partners,82606,46094
Longview Entertainment,82607,46094
Touchstone Pictures,9195,9409
Twentieth Century Fox Film Corporation,306,11853
"Ruddy Morgan Organization, The",89311,11853
Fine Line Features,8,16771
Castle Rock Entertainment,97,16771
Barcelona Films,16737,16771
Warner Bros.,6194,46924
Enigma Productions,7049,46924
Bsb,58750,46924
Natwest Ventures,79560,46924
Fujisankei,79561,46924
Twentieth Century Fox Film Corporation,306,11041
Paramount Pictures,4,306
Eddie Murphy Productions,30,306
Warner Bros.,6194,14522
New Line Cinema,12,26203
Trilogy Entertainment Group,2231,178
Metro-Goldwyn-Mayer (Mgm),8411,178
Paramount Pictures,4,19819
Orion Pictures Corporation,14150,57834
Heathrow Productions,18070,57834
Warner Bros.,6194,4722
Dorset Productions,10098,4722
Robert H. Solo Productions,10099,4722
Mainline Pictures,70969,18215
Hbo Films,7429,1607
Savoy Pictures,11308,1607
Touchstone Pictures,9195,26391
Columbia Pictures,5,117553
Parkway Productions,1350,117553
Universal Pictures,33,6075
